Taxid	Name	Taxid2	Length	tax_id	parent_id	rank	tax_name	root	below_root	superkingdom	below_superkingdom	below_below_superkingdom	below_below_below_superkingdom	below_below_below_below_superkingdom	below_below_below_below_below_superkingdom	below_below_below_below_below_below_superkingdom	kingdom	subkingdom	superphylum	phylum	below_phylum	below_below_phylum	subphylum	below_subphylum	below_below_subphylum	class	below_class	below_below_class	subclass	order	below_order	below_below_order	suborder	family	below_family	below_below_family	below_below_below_family	subfamily	below_subfamily	tribe	genus	below_genus	below_below_genus	subgenus	species_group	species_subgroup	below_species_subgroup	species	below_species	below_below_species	below_below_below_species	subspecies	below_subspecies	below_below_subspecies	below_below_below_subspecies	varietas	below_varietas
305	"Ralstonia_solanacearum"	305	6633	305	48736	species	Ralstonia_solanacearum	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1224	NA	NA	NA	NA	NA	28216	NA	NA	NA	80840	NA	NA	NA	119060	NA	NA	NA	NA	NA	NA	48736	NA	NA	NA	NA	NA	NA	305	NA	NA	NA	NA	NA	NA	NA	NA	NA
394	"Sinorhizobium_fredii_NGR234"	394	6891900	394	380	below_species	Sinorhizobium_fredii_NGR234	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1224	NA	NA	NA	NA	NA	28211	NA	NA	NA	356	NA	NA	NA	82115	227292	NA	NA	NA	NA	NA	28105	663276	NA	NA	NA	NA	NA	380	394	NA	NA	NA	NA	NA	NA	NA	NA
813	"Chlamydia_trachomatis"	813	9406968	813	810	species	Chlamydia_trachomatis	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	51290	204428	NA	NA	NA	NA	NA	204429	NA	NA	NA	51291	NA	NA	NA	809	1113537	NA	NA	NA	NA	NA	810	NA	NA	NA	NA	NA	NA	813	NA	NA	NA	NA	NA	NA	NA	NA	NA
882	"Desulfovibrio_vulgaris_str._Hildenborough"	882	3773159	882	881	below_species	Desulfovibrio_vulgaris_str._Hildenborough	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1224	NA	NA	68525	NA	NA	28221	NA	NA	NA	213115	NA	NA	NA	194924	NA	NA	NA	NA	NA	NA	872	NA	NA	NA	NA	NA	NA	881	882	NA	NA	NA	NA	NA	NA	NA	NA
883	"Desulfovibrio_vulgaris_str._'Miyazaki_F'"	883	4040304	883	881	below_species	Desulfovibrio_vulgaris_str._'Miyazaki_F'	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1224	NA	NA	68525	NA	NA	28221	NA	NA	NA	213115	NA	NA	NA	194924	NA	NA	NA	NA	NA	NA	872	NA	NA	NA	NA	NA	NA	881	883	NA	NA	NA	NA	NA	NA	NA	NA
1140	"Synechococcus_elongatus_PCC_7942"	1140	2742269	1140	32046	below_species	Synechococcus_elongatus_PCC_7942	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1117	NA	NA	NA	NA	NA	NA	NA	NA	1301283	1118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1129	NA	NA	NA	NA	NA	NA	32046	1140	NA	NA	NA	NA	NA	NA	NA	NA
1148	"Synechocystis_sp._PCC_6803"	1148	11467428	1148	1142	species	Synechocystis_sp._PCC_6803	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1117	NA	NA	NA	NA	NA	NA	NA	NA	1301283	1118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1142	NA	NA	NA	NA	NA	NA	1148	NA	NA	NA	NA	NA	NA	NA	NA	NA
1311	"Streptococcus_agalactiae"	1311	1838867	1311	1301	species	Streptococcus_agalactiae	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1239	NA	NA	NA	NA	NA	91061	NA	NA	NA	186826	NA	NA	NA	1300	NA	NA	NA	NA	NA	NA	1301	NA	NA	NA	NA	NA	NA	1311	NA	NA	NA	NA	NA	NA	NA	NA	NA
1511	"[Clostridium]_sticklandii"	1511	2715461	1511	1481960	species	[Clostridium]_sticklandii	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1239	NA	NA	NA	NA	NA	186801	NA	NA	NA	186802	NA	NA	NA	186804	NA	NA	NA	NA	NA	NA	1481960	NA	NA	NA	NA	NA	NA	1511	NA	NA	NA	NA	NA	NA	NA	NA	NA
1639	"Listeria_monocytogenes"	1639	30012931	1639	1637	species	Listeria_monocytogenes	1	131567	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1239	NA	NA	NA	NA	NA	91061	NA	NA	NA	1385	NA	NA	NA	186820	NA	NA	NA	NA	NA	NA	1637	NA	NA	NA	NA	NA	NA	1639	NA	NA	NA	NA	NA	NA	NA	NA	NA
