tissue_name	tissue_group	consortium	build	url	filetype	donor_id	sample_id	donor_sex	cell_type
bcell_1	bcell	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/51235.CEEHRC.MS000202.WGB-Seq.methylation_profile.bigWig	bw	McGill0002	MS000202	Female	"""B cell"""
bcell_2	bcell	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52277.CEEHRC.MS012401.WGB-Seq.methylation_profile.bigWig	bw	McGill0124	MS012401	Female	"""B cell"""
bcell_3	bcell	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52338.CEEHRC.MS012701.WGB-Seq.methylation_profile.bigWig	bw	McGill0127	MS012701	Male	"""B cell"""
bcell_4	bcell	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52409.CEEHRC.MS013401.WGB-Seq.methylation_profile.bigWig	bw	McGill0134	MS013401	Unknown	"""B cell"""
bcell_5	bcell	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52412.CEEHRC.MS013501.WGB-Seq.methylation_profile.bigWig	bw	McGill0135	MS013591	Unknown	"""B cell"""
bcell_6	bcell	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52779.CEEHRC.MS026601.WGB-Seq.methylation_profile.bigWig	bw	McGill0266	MS026601	Female	"""B cell"""
bcell_7	bcell	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/52797.CEEHRC.MS027001.WGB-Seq.methylation_profile.bigWig	bw	McGill0270	MS027001	Female	"""B cell"""
bcell_8	bcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/C003N3/memory_B_cell/Bisulfite-Seq/CNAG/C003N351.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	C003N3	C003N351	Male	"""memory B cell"""
bcell_9	bcell	BLUEPRINT	hg38	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/S017RE/memory_B_cell/Bisulfite-Seq/CNAG/S017RE51.CPG_methylation_calls.bs_call.GRCh38.20160531.bw	bw	S017RE	S017RE51	Female	"""memory B cell"""
colon_1	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65249.CEEHRC.CEMT0033.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AKCC-52	CEMT0033	Female	"""Large Intestine-Colon-Ascending (Right)"""
colon_2	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65685.CEEHRC.CEMT0058.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AKCC-70	CEMT0058	Female	"""Large Intestine-Colon-rectosigmoid"""
colon_3	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65689.CEEHRC.CEMT0060.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AKCC-55	CEMT0060	Male	"""Large Intestine-Colon"""
colon_4	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65695.CEEHRC.CEMT0064.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AKCC-58	CEMT0064	Female	"""Large Intestine-Colon-Ascending (Right)"""
colon_5	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65697.CEEHRC.CEMT0065.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AKCC-63	CEMT0065	Female	"""Large Intestine-Colon-Ascending (Right)"""
colon_6	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65251.CEEHRC.CEMT0034.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AKCC-46	CEMT0034	Male	"""Large Intestine-Colon-Ascending (Right)"""
colon_7	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65781.CEEHRC.CEMT0068.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AK-DIV-03	CEMT0068	Female	"""Large Instestine-Colon-rectosigmoid"""
colon_8	colon	CEEHRC	hg19	http://epigenomesportal.ca/tracks/CEEHRC/hg19/65783.CEEHRC.CEMT0072.gDNA.WGB-Seq.methylation_profile.bigWig	bw	AK-DIV-05	CEMT0072	Female	"""Large Instestine-Colon-rectosigmoid"""
colon_9	colon	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF050KHZ/@@download/ENCFF050KHZ.bigWig	bw	ENCSR113KSF	ENCFF050KHZ	Male	"""small intestine"""
colon_10	colon	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF746ZTE/@@download/ENCFF746ZTE.bigWig	bw	ENCFF746ZTE	ENCSR357BWB	Female	"""small intestine"""
colon_11	colon	ENCODE	hg38	https://www.encodeproject.org/files/ENCFF945PUR/@@download/ENCFF945PUR.bigWig	bw	ENCFF945PUR	ENCSR331PWE	Male	"""sigmoid colon"""
