SampleUniqueStr	Sample1	Sample2	Sim_NumSNPs	Sim_SNPs_selectionMethod	Sample2_fraction	Sim_reads_per_SNP	Replicate	ibd_m1	ibd_m2	sim_pops
Sim1062	I8_BC	I2_BC	2000000	Random	0	2	1	100	100	SAS
Sim1063	I8_BC	I2_BC	2000000	Random	0.0001	2	1	100	100	SAS
Sim1064	I8_BC	I2_BC	2000000	Random	0.0002	2	1	100	100	SAS
Sim1065	I8_BC	I2_BC	2000000	Random	0.0003	2	1	100	100	SAS
Sim1066	I8_BC	I2_BC	2000000	Random	0.0004	2	1	100	100	SAS
Sim1067	I8_BC	I2_BC	2000000	Random	0.0005	2	1	100	100	SAS
Sim1068	I8_BC	I2_BC	2000000	Random	0.0006	2	1	100	100	SAS
Sim1069	I8_BC	I2_BC	2000000	Random	0.0007	2	1	100	100	SAS
Sim1070	I8_BC	I2_BC	2000000	Random	0.0008	2	1	100	100	SAS
Sim1071	I8_BC	I2_BC	2000000	Random	0.0009	2	1	100	100	SAS
Sim1072	I8_BC	I2_BC	2000000	Random	0.001	2	1	100	100	SAS
Sim1073	I8_BC	I2_BC	2000000	Random	0.002	2	1	100	100	SAS
Sim1074	I8_BC	I2_BC	2000000	Random	0.003	2	1	100	100	SAS
Sim1075	I8_BC	I2_BC	2000000	Random	0.004	2	1	100	100	SAS
Sim1076	I8_BC	I2_BC	2000000	Random	0.005	2	1	100	100	SAS
Sim1077	I8_BC	I2_BC	2000000	Random	0.006	2	1	100	100	SAS
Sim1078	I8_BC	I2_BC	2000000	Random	0.007	2	1	100	100	SAS
Sim1079	I8_BC	I2_BC	2000000	Random	0.008	2	1	100	100	SAS
Sim1080	I8_BC	I2_BC	2000000	Random	0.009	2	1	100	100	SAS
Sim1081	I8_BC	I2_BC	2000000	Random	0.01	2	1	100	100	SAS
Sim1082	I8_BC	I2_BC	2000000	Random	0.011	2	1	100	100	SAS
Sim1083	I8_BC	I2_BC	2000000	Random	0.012	2	1	100	100	SAS
Sim1084	I8_BC	I2_BC	2000000	Random	0.013	2	1	100	100	SAS
Sim1085	I8_BC	I2_BC	2000000	Random	0.014	2	1	100	100	SAS
Sim1086	I8_BC	I2_BC	2000000	Random	0.015	2	1	100	100	SAS
Sim1087	I8_BC	I2_BC	2000000	Random	0.016	2	1	100	100	SAS
Sim1088	I8_BC	I2_BC	2000000	Random	0.017	2	1	100	100	SAS
Sim1089	I8_BC	I2_BC	2000000	Random	0.018	2	1	100	100	SAS
Sim1090	I8_BC	I2_BC	2000000	Random	0.019	2	1	100	100	SAS
Sim1091	I8_BC	I2_BC	2000000	Random	0.02	2	1	100	100	SAS
Sim1092	I8_BC	I2_BC	2000000	Random	0.0225	2	1	100	100	SAS
Sim1093	I8_BC	I2_BC	2000000	Random	0.025	2	1	100	100	SAS
Sim1094	I8_BC	I2_BC	2000000	Random	0.0275	2	1	100	100	SAS
Sim1095	I8_BC	I2_BC	2000000	Random	0.03	2	1	100	100	SAS
Sim1096	I8_BC	I2_BC	2000000	Random	0.0325	2	1	100	100	SAS
Sim1097	I8_BC	I2_BC	2000000	Random	0.035	2	1	100	100	SAS
Sim1098	I8_BC	I2_BC	2000000	Random	0.0375	2	1	100	100	SAS
